nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,3.1043,3.11662,3.11446,3.11485,3.11475,3.11442,3.11658,3.10433,nan,nan,nan,nan
nan,nan,nan,3.11687,3.11514,3.11458,3.11479,3.11474,3.1147,3.11479,3.11463,3.1151,3.11686,nan,nan,nan
nan,nan,3.11685,3.11404,3.11484,3.1147,3.11472,3.11472,3.11468,3.11477,3.11475,3.11484,3.11411,3.11678,nan,nan
nan,3.10434,3.11515,3.11485,3.11482,3.1147,3.1147,3.1147,3.11467,3.11476,3.11468,3.11473,3.11481,3.11512,3.10433,nan
nan,3.1166,3.11459,3.11476,3.11479,3.11478,3.11479,3.11483,3.11477,3.11484,3.11476,3.11467,3.11475,3.11462,3.11652,nan
nan,3.11448,3.11476,3.1147,3.11471,3.11473,3.11476,3.11469,3.11481,3.11473,3.11482,3.11477,3.11482,3.11483,3.11444,nan
nan,3.11473,3.11474,3.11473,3.11473,3.11466,3.11479,3.11471,3.1147,3.1147,3.11478,3.11478,3.11479,3.11471,3.11484,nan
nan,3.11473,3.11478,3.1147,3.11473,3.11484,3.11482,3.11472,3.11475,3.11475,3.11477,3.11473,3.11473,3.11472,3.11483,nan
nan,3.11441,3.11481,3.11478,3.11483,3.11477,3.11477,3.11476,3.11479,3.11474,3.11477,3.11474,3.11471,3.1148,3.11437,nan
nan,3.11666,3.11463,3.11475,3.11473,3.11476,3.11478,3.11477,3.11476,3.1147,3.11474,3.11478,3.11473,3.11456,3.11656,nan
nan,3.10433,3.11515,3.11472,3.11481,3.11481,3.11473,3.11473,3.11472,3.11479,3.1148,3.1147,3.1148,3.11512,3.1043,nan
nan,nan,3.11687,3.11409,3.11481,3.11477,3.11474,3.11472,3.11471,3.11471,3.11474,3.11478,3.11408,3.11687,nan,nan
nan,nan,nan,3.11683,3.11509,3.11463,3.11485,3.11468,3.11474,3.11484,3.11457,3.11502,3.11682,nan,nan,nan
nan,nan,nan,nan,3.10428,3.11655,3.11441,3.11481,3.11473,3.11445,3.1166,3.1043,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
