1,0,1.01538
0.951057,0.309017,1.08391
0.809017,0.587785,0.908412
0.587785,0.809017,1.08038
0.309017,0.951057,0.900601
6.12323e-17,1,1.0087
-0.309017,0.951057,1.09577
-0.587785,0.809017,0.95298
-0.809017,0.587785,0.933775
-0.951057,0.309017,0.958507
-1,1.22465e-16,1.027
-0.951057,-0.309017,0.923648
-0.809017,-0.587785,0.960239
-0.587785,-0.809017,0.938862
-0.309017,-0.951057,1.05989
-1.83697e-16,-1,0.91353
0.309017,-0.951057,1.09779
0.587785,-0.809017,0.957504
0.809017,-0.587785,0.970886
0.951057,-0.309017,1.08121
1,0,1.09936
