X,Y,F11,F12,F21,F22
0.333333,0.333333,1.33225,0.064569,-0.00234595,1.00213
X,Y,F11,F12,F21,F22
0.466667,0.333333,1.38358,0.0695122,0.00506867,0.997118
X,Y,F11,F12,F21,F22
0.6,0.333333,1.44221,0.0747574,-0.00020096,1.00443
X,Y,F11,F12,F21,F22
0.733333,0.333333,1.49286,0.0634872,0.00309284,0.998136
X,Y,F11,F12,F21,F22
0.333333,0.466667,1.342,0.0153715,-0.00590508,1.00532
X,Y,F11,F12,F21,F22
0.466667,0.466667,1.38761,0.0203843,0.00509901,1.00607
X,Y,F11,F12,F21,F22
0.6,0.466667,1.42153,0.0187227,0.00141315,1.00106
X,Y,F11,F12,F21,F22
0.733333,0.466667,1.47275,0.0115257,-0.000114858,0.998332
X,Y,F11,F12,F21,F22
0.333333,0.6,1.34126,-0.0374777,-0.00175556,1.00035
X,Y,F11,F12,F21,F22
0.466667,0.6,1.38161,-0.0489904,-0.00428661,1.00102
X,Y,F11,F12,F21,F22
0.6,0.6,1.44459,-0.0356351,-0.00538736,0.994562
X,Y,F11,F12,F21,F22
0.733333,0.6,1.48399,-0.0389566,-0.00205188,0.996983
X,Y,F11,F12,F21,F22
0.333333,0.733333,1.32536,-0.0962846,0.00370901,1.00327
X,Y,F11,F12,F21,F22
0.466667,0.733333,1.38992,-0.110508,0.00394446,1.0001
X,Y,F11,F12,F21,F22
0.6,0.733333,1.4511,-0.108472,0.000470018,1.00371
X,Y,F11,F12,F21,F22
0.733333,0.733333,1.50152,-0.0839009,0.000725257,1.00206
